Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
HTTP Request,150,1472,25,4573,1668.03,0.000%,.33314,0.06,0.07,197.6
TOTAL,150,1472,25,4573,1668.03,0.000%,.33314,0.06,0.07,197.6
